video_id,title,publish_date,view_count,like_count,comment_count,duration
47Gk2M6bddY,Different Types of Constraints on Database Tables,2024-06-17T03:29:14Z,251,8,2,145.0
pvvTzQatxFA,Full Course on ELT using DBT and Postgres,2024-07-01T13:00:07Z,1521,32,4,3166.0
2_7wvB1Z3wY,Getting Started with writing Medium Articles,2024-10-14T05:38:26Z,7,0,0,2015.0
tL_yd6-Njto,Udemy Rating and Review - Using Course Player,2022-08-16T05:35:18Z,886,0,0,25.0
sx-72yIFxFY,Udemy Rating and Review   Edit Feedback,2022-08-16T05:35:44Z,620,6,0,26.0
9sqiQLqMqmA,Udemy Rating and Review   Rating Course using Learning Page,2022-08-16T05:34:27Z,1093,8,1,27.0
UAVbNKdUYsw,Introduction to Machine Learning (Excerpt or Sample Video),2022-02-28T03:01:12Z,1178,14,1,2356.0
1r8fOyE9H_k,Develop Machine Learning Models - Predicting the numbers using OCR and PyTorch (Sample Video),2022-03-02T02:38:50Z,1718,16,1,3458.0
h14aU3kAjxw,Getting Started with Databricks on Microsoft Azure,2022-03-05T04:30:15Z,6712,48,7,2692.0
iaO-WFUvEUI,Azure Essentials for Databricks - Setup Azure CLI as well as Manage Resources using Azure CLI,2022-03-12T04:30:16Z,1534,7,1,2828.0
xFcVD6Zh0mo,Azure Essentials for Databricks - Mount ADLS Containers on to Azure Databricks Clusters,2022-03-19T04:30:31Z,2098,12,2,2882.0
aJ2wSc8yYBM,Databricks Platform Features - Deep Dive into Delta Lake using PySpark Data Frames,2022-02-10T15:00:11Z,5186,80,4,4111.0
RuMgec50adA,Databricks Platform Features -  Deep Dive into Delta Lake using Spark SQL,2022-02-16T13:00:13Z,3590,45,1,3502.0
Vi1KswnNVE4,Databricks Platform Features - Overview of Databricks SQL Clusters,2022-03-26T04:30:28Z,2202,24,3,3866.0
LUvzy5CdWGI,Apache Spark Python - Data Processing Overview - Starting Spark Context - pyspark,2022-01-06T16:11:09Z,1197,5,0,464.0
T7eXC5Rjiv0,Apache Spark Python - Data Processing Overview - Overview of Spark Read APIs,2022-01-06T16:11:09Z,340,1,2,665.0
ezKx5ZDdO30,Apache Spark Python - Data Processing Overview - Understanding airlines data,2022-01-06T16:11:09Z,311,1,0,257.0
19RvRfsm_EA,Apache Spark Python - Data Processing Overview - Inferring Schema,2022-01-06T16:11:09Z,264,1,0,402.0
wE5W9W-z7i4,Apache Spark Python - Data Processing Overview - Previewing Airlines Data,2022-01-06T16:12:46Z,2405,21,0,396.0
gBGSzbUVnp0,Apache Spark Python - Data Processing Overview - Overview of Data Frame APIs,2022-01-06T16:11:09Z,180,2,0,432.0
